deck,category,question,option_a,option_b,option_c,option_d,answer,note,source
"Set 5","Objects & art","What do the black dots around a car windscreen mainly help do?","Improve radio reception","Hide and protect the adhesive","Measure glass curvature","Defrost the edge","Hide and protect the adhesive","The ceramic frit shades the urethane sealant from ultraviolet light and creates a gradual visual edge.","https://www.pilkington.com/en/global/knowledge-base/glass-technology/automotive-glazing"
"Set 5","Objects & art","Why do ISO A-series paper sizes keep the same proportions when cut in half?","Their sides use a square-root-of-two ratio","Their margins are equal","Their area is always one square metre","Their corners are rounded","Their sides use a square-root-of-two ratio","The 1-to-square-root-of-two aspect ratio reproduces itself when the sheet is halved across its longer side.","https://www.iso.org/obp/ui/#iso:std:iso:216:ed-2:v1:en"
"Set 5","Objects & art","Why did paint in collapsible metal tubes matter to 19th-century painters?","It dried paintings instantly","It made outdoor painting practical","It removed the need for brushes","It made every pigment cheaper","It made outdoor painting practical","Portable, resealable tubes let artists carry fresh paint outdoors without preparing pigments on site.","https://www.smithsonianmag.com/arts-culture/never-underestimate-the-power-of-a-paint-tube-36637764/"
"Set 5","Objects & art","Who posed for the farmer and daughter in Grant Wood's American Gothic?","Two hired actors","Wood and his wife","His dentist and his sister","A real farming couple","His dentist and his sister","Wood used his dentist, Byron McKeeby, and his sister, Nan Wood Graham, as separate models.","https://www.artic.edu/artworks/6565/american-gothic"
"Set 5","Objects & art","Hokusai's The Great Wave was made using which printmaking method?","Woodblock printing","Etching","Lithography","Screen printing","Woodblock printing","The Great Wave is a color woodblock print from Hokusai's series Thirty-six Views of Mount Fuji.","https://www.metmuseum.org/art/collection/search/45434"
"Set 5","Objects & art","In Magritte's The Treachery of Images, what appears below the painted pipe?","A price tag","A shadow of a bird","Words saying it is not a pipe","The artist's signature only","Words saying it is not a pipe","The French sentence ""Ceci n'est pas une pipe"" reminds viewers that the painting is an image, not a pipe.","https://collections.lacma.org/node/239578"
"Set 6","Screen & sound","In Jaws, what kind of shark is hunted off Amity Island?","Tiger shark","Great white shark","Bull shark","Mako shark","Great white shark","The film calls the attacking animal a great white shark.","https://www.britannica.com/topic/Jaws-film-by-Spielberg"
"Set 6","Screen & sound","Which Fleetwood Mac album includes ""Dreams"" and ""Go Your Own Way""?","Tusk","Mirage","Rumours","Fleetwood Mac","Rumours","Both songs appeared on the band's 1977 album Rumours.","https://www.grammy.com/news/fleetwood-mac-rumours-album-anniversary"
"Set 6","Screen & sound","What is the name of the newspaper where Clark Kent works?","Daily Bugle","Daily Planet","Gotham Gazette","Metropolis Times","Daily Planet","Clark Kent works as a reporter for Metropolis's Daily Planet.","https://www.dc.com/characters/superman"
"Set 6","Screen & sound","Which composer wrote the scores for Jaws, E.T., and Jurassic Park?","Hans Zimmer","Ennio Morricone","John Williams","Howard Shore","John Williams","John Williams composed the music for all three Steven Spielberg films.","https://www.britannica.com/biography/John-Williams-American-composer-and-conductor"
"Set 6","Screen & sound","Which singer released the 1985 album Hounds of Love?","Kate Bush","Annie Lennox","Cyndi Lauper","Patti Smith","Kate Bush","Kate Bush wrote and produced Hounds of Love, which includes ""Running Up That Hill.""","https://www.britannica.com/biography/Kate-Bush"
"Set 6","Screen & sound","In Citizen Kane, what object bears the name ""Rosebud""?","A sled","A snow globe","A typewriter","A train","A sled","Rosebud is the name painted on Kane's childhood sled.","https://catalog.afi.com/Catalog/moviedetails/27624"
"Set 6","Screen & sound","Which actor directed and starred in Unforgiven?","Kevin Costner","Clint Eastwood","Robert Redford","Gene Hackman","Clint Eastwood","Clint Eastwood directed the 1992 western and played William Munny.","https://www.britannica.com/topic/Unforgiven"
"Set 6","Screen & sound","What was Freddie Mercury's birth name?","Farrokh Bulsara","Reginald Dwight","David Jones","Richard Starkey","Farrokh Bulsara","Freddie Mercury was born Farrokh Bulsara in Zanzibar.","https://www.britannica.com/biography/Freddie-Mercury"
"Set 6","Screen & sound","Which TV detective is known for saying ""Just one more thing""?","Kojak","Columbo","Morse","Poirot","Columbo","Lieutenant Columbo often returns with the disarming phrase ""Just one more thing.""","https://www.britannica.com/topic/Columbo-American-television-series"
"Set 6","Sports","In baseball, how many strikes normally retire a batter?","Two","Three","Four","Five","Three","A third strike completes a strikeout, subject to the uncaught-third-strike rule.","https://www.mlb.com/glossary/rules/strikeout"
"Set 6","Sports","How long is a standard Olympic swimming pool?","25 metres","40 metres","50 metres","100 metres","50 metres","World Aquatics specifies a 50-metre pool for long-course competition.","https://www.worldaquatics.com/rules/competition-regulations"
"Set 6","Sports","How many stumps make up a cricket wicket?","Two","Three","Four","Six","Three","A wicket consists of three wooden stumps topped by two bails.","https://www.lords.org/mcc/the-laws-of-cricket/the-wickets"
"Set 6","Sports","Which chess piece must stay on squares of one color?","Rook","Knight","Bishop","Queen","Bishop","A bishop moves diagonally, so it can never leave its starting square color.","https://www.britannica.com/topic/chess/Movement-of-the-pieces"
"Set 6","Sports","In Formula One, what flag orders a driver to stop because they are disqualified?","Red","Black","White","Yellow","Black","A black flag shown with a car number tells that driver to return to the pits.","https://www.fia.com/sites/default/files/fia_international_sporting_code_2026.pdf"
"Set 6","Sports","What is the maximum break in snooker without a free ball?","137","147","155","167","147","Fifteen reds with blacks, followed by all six colors, totals 147.","https://wpbsa.com/about-us/rules/"
"Set 6","Sports","In basketball, how long may an NBA player remain in the opponents' lane on offense?","Two seconds","Three seconds","Five seconds","Eight seconds","Three seconds","The offensive three-second rule limits a player in the lane while their team controls the ball.","https://official.nba.com/rule-no-10-violations-and-penalties/"
"Set 6","Sports","Which athletics event uses a 7.26-kilogram metal ball in the men's competition?","Discus","Hammer throw","Shot put","Javelin","Shot put","The senior men's shot weighs 7.26 kilograms, or 16 pounds.","https://worldathletics.org/disciplines/throws/shot-put"
"Set 6","Food & kitchen","Which French sauce is made by emulsifying egg yolks and butter?","Bechamel","Hollandaise","Veloute","Espagnole","Hollandaise","Hollandaise is a warm emulsion of egg yolks, butter, and an acid such as lemon juice.","https://www.britannica.com/topic/hollandaise-sauce"
"Set 6","Food & kitchen","What grain is traditionally used to make Japanese sake?","Barley","Rice","Millet","Buckwheat","Rice","Sake is brewed from polished rice with water, yeast, and koji mold.","https://www.britannica.com/topic/sake"
"Set 6","Food & kitchen","Which cheese is traditionally used in a Greek salad?","Halloumi","Feta","Ricotta","Brie","Feta","The traditional horiatiki salad is topped with feta cheese.","https://www.britannica.com/topic/feta-cheese"
"Set 6","Food & kitchen","What gives Earl Grey tea its characteristic flavor?","Jasmine","Bergamot oil","Vanilla","Mint","Bergamot oil","Oil from bergamot citrus peel supplies Earl Grey's distinctive aroma.","https://www.britannica.com/topic/Earl-Grey-tea"
"Set 6","Food & kitchen","Which nut forms the base of traditional marzipan?","Hazelnut","Almond","Walnut","Pistachio","Almond","Marzipan is a paste made chiefly from ground almonds and sugar.","https://www.britannica.com/topic/marzipan"
"Set 6","Food & kitchen","What type of pastry is used for profiteroles?","Filo","Puff pastry","Choux","Shortcrust","Choux","Profiterole shells are baked from choux pastry, which puffs from steam.","https://www.britannica.com/topic/profiterole"
"Set 6","Food & kitchen","Which country is the origin of the cheese Gouda?","Belgium","Denmark","Netherlands","Switzerland","Netherlands","Gouda is named for the Dutch city where the cheese was historically traded.","https://www.britannica.com/topic/Gouda-cheese"
"Set 6","Food & kitchen","In cooking, what does it mean to julienne a vegetable?","Mash it smooth","Cut it into thin strips","Cook it in wine","Remove its skin","Cut it into thin strips","A julienne cut produces thin, matchstick-shaped strips.","https://www.britannica.com/topic/julienne"
"Set 6","Nature & science","Which blood cells carry most of the oxygen in the human body?","Platelets","Red blood cells","White blood cells","Stem cells","Red blood cells","Hemoglobin inside red blood cells binds and transports oxygen.","https://www.nhlbi.nih.gov/health/blood"
"Set 6","Nature & science","What is the largest species of living penguin?","King penguin","Emperor penguin","Gentoo penguin","Chinstrap penguin","Emperor penguin","The emperor penguin is the tallest and heaviest living penguin species.","https://www.britannica.com/animal/emperor-penguin"
"Set 6","Nature & science","Which element has the chemical symbol W?","Tungsten","Tin","Titanium","Tantalum","Tungsten","Tungsten uses W from its older name, wolfram.","https://www.britannica.com/science/tungsten-chemical-element"
"Set 6","Nature & science","What is the only mammal capable of sustained true flight?","Flying squirrel","Sugar glider","Bat","Colugo","Bat","Bats generate powered flight; other so-called flying mammals only glide.","https://www.britannica.com/animal/bat-mammal"
"Set 6","Nature & science","Which layer of Earth is liquid?","Crust","Mantle","Outer core","Inner core","Outer core","Earth's outer core is liquid iron and nickel around a solid inner core.","https://www.usgs.gov/programs/earthquake-hazards/science/inside-earth"
"Set 6","Nature & science","A narwhal's tusk is actually an enlarged what?","Horn","Tooth","Jawbone","Whisker","Tooth","The spiral tusk is an elongated canine tooth, usually on the left side.","https://oceanservice.noaa.gov/facts/narwhal.html"
"Set 6","Nature & science","Which planet has the shortest day in the Solar System?","Mars","Jupiter","Saturn","Uranus","Jupiter","Jupiter rotates in about 10 hours, faster than any other planet.","https://science.nasa.gov/jupiter/facts/"
"Set 6","Nature & science","What is measured on the Mohs scale?","Mineral hardness","Earthquake energy","Wind speed","Acidity","Mineral hardness","The Mohs scale ranks minerals by their resistance to scratching.","https://www.nps.gov/articles/mohs-hardness-scale.htm"
"Set 6","Nature & science","Which organ produces insulin in the human body?","Liver","Pancreas","Kidney","Spleen","Pancreas","Beta cells in the pancreas produce the hormone insulin.","https://www.niddk.nih.gov/health-information/diabetes/overview/what-is-diabetes/pancreas-insulin"
"Set 6","Nature & science","What kind of animal is an axolotl?","Lizard","Salamander","Fish","Frog","Salamander","The axolotl is a salamander that normally retains aquatic larval traits as an adult.","https://nationalzoo.si.edu/animals/axolotl"
"Set 6","World & history","Which modern city was once called Constantinople?","Athens","Istanbul","Sofia","Alexandria","Istanbul","Constantinople became the official name Istanbul in Turkey in 1930.","https://www.britannica.com/place/Istanbul"
"Set 6","World & history","Machu Picchu was built by which civilization?","Maya","Aztec","Inca","Olmec","Inca","The Inca built Machu Picchu in the Andes during the 15th century.","https://whc.unesco.org/en/list/274/"
"Set 6","World & history","Which treaty formally ended World War I between Germany and the Allies?","Treaty of Utrecht","Treaty of Versailles","Treaty of Paris","Treaty of Tordesillas","Treaty of Versailles","Germany and the Allies signed the Treaty of Versailles in 1919.","https://www.britannica.com/event/Treaty-of-Versailles-1919"
"Set 6","World & history","Which African country was formerly known as Abyssinia?","Ethiopia","Eritrea","Sudan","Somalia","Ethiopia","Abyssinia was a historical European name for Ethiopia.","https://www.britannica.com/place/Ethiopia"
"Set 6","World & history","Which country almost completely surrounds The Gambia?","Guinea","Senegal","Mali","Mauritania","Senegal","Senegal surrounds The Gambia on three sides; the country's western edge meets the Atlantic.","https://www.britannica.com/place/The-Gambia"
"Set 6","World & history","Which narrow sea lies entirely within Turkey and connects the Black Sea route to the Aegean?","Sea of Marmara","Adriatic Sea","Aral Sea","Tyrrhenian Sea","Sea of Marmara","The Sea of Marmara connects through the Bosporus to the Black Sea and through the Dardanelles to the Aegean.","https://www.britannica.com/place/Sea-of-Marmara"
"Set 6","World & history","Which empire used quipu, systems of knotted cords, for record keeping?","Roman","Inca","Mongol","Ottoman","Inca","Inca administrators encoded numerical records on knotted quipu cords.","https://www.britannica.com/technology/quipu"
"Set 6","World & history","Who was the first woman to fly solo across the Atlantic Ocean?","Bessie Coleman","Amelia Earhart","Amy Johnson","Jacqueline Cochran","Amelia Earhart","Amelia Earhart completed the first female solo Atlantic crossing in 1932.","https://www.si.edu/spotlight/amelia-earhart"
"Set 6","World & history","Which national capital is widely recognized as the world's coldest?","Helsinki","Ulaanbaatar","Reykjavik","Astana","Ulaanbaatar","Mongolia's Ulaanbaatar has an extremely cold continental climate and is commonly identified as the coldest national capital.","https://www.britannica.com/place/Ulaanbaatar"
"Set 6","World & history","Which material helped ancient Roman marine concrete harden under water?","Volcanic ash","Beeswax","Ground marble","Pine resin","Volcanic ash","Roman builders mixed lime with volcanic ash, producing hydraulic concrete that could set under water.","https://www.smithsonianmag.com/science-nature/why-roman-concrete-still-stands-180982805/"
"Set 6","Books & games","Who wrote The Name of the Rose?","Italo Calvino","Umberto Eco","Primo Levi","Alberto Moravia","Umberto Eco","Italian scholar and novelist Umberto Eco published The Name of the Rose in 1980.","https://www.britannica.com/biography/Umberto-Eco"
"Set 6","Books & games","In Scrabble, how many points is the letter Q worth in English-language play?","Eight","Ten","Twelve","Fifteen","Ten","Q and Z are the two 10-point tiles in English Scrabble.","https://scrabble.hasbro.com/en-us/faq"
"Set 6","Books & games","Which Shakespeare play contains Rosencrantz and Guildenstern?","Macbeth","Hamlet","King Lear","Othello","Hamlet","Rosencrantz and Guildenstern are Hamlet's former school friends.","https://www.folger.edu/explore/shakespeares-works/hamlet/read/"
"Set 6","Books & games","Which novel opens with the line ""Call me Ishmael""?","Moby-Dick","The Old Man and the Sea","Treasure Island","The Sea-Wolf","Moby-Dick","Ishmael introduces himself in the first sentence of Herman Melville's Moby-Dick.","https://www.gutenberg.org/files/2701/2701-h/2701-h.htm"
"Set 6","Books & games","In standard Monopoly, which property comes immediately after Go?","Baltic Avenue","Mediterranean Avenue","Reading Railroad","Oriental Avenue","Mediterranean Avenue","Mediterranean Avenue is the first purchasable property after Go.","https://instructions.hasbro.com/en-us/instruction/monopoly-game"
"Set 6","Books & games","Who created the detective Hercule Poirot?","Dorothy L. Sayers","Agatha Christie","Arthur Conan Doyle","Ngaio Marsh","Agatha Christie","Agatha Christie introduced Belgian detective Hercule Poirot in The Mysterious Affair at Styles.","https://www.agathachristie.com/characters/hercule-poirot"
"Set 6","Books & games","Which fantasy novel centers on the hobbit Bilbo Baggins?","The Silmarillion","The Hobbit","The Two Towers","The Last Battle","The Hobbit","Bilbo is the reluctant burglar and central character of J.R.R. Tolkien's The Hobbit.","https://www.britannica.com/topic/The-Hobbit"
"Set 6","Books & games","When may a pawn capture en passant in chess?","At any later turn","Only on the immediately following move","Only while in check","Only after castling","Only on the immediately following move","An en passant capture is legal only on the move immediately after the opposing pawn advances two squares.","https://handbook.fide.com/chapter/E012023"
"Set 6","Books & games","What board game was originally called Lexiko?","Boggle","Scrabble","Risk","Yahtzee","Scrabble","Alfred Mosher Butts developed Lexiko, which evolved into Scrabble.","https://www.nationalww2museum.org/war/articles/scrabble-alfred-butts"
"Set 6","Inventions & art","Who patented the first practical telephone in the United States?","Thomas Edison","Alexander Graham Bell","Guglielmo Marconi","Nikola Tesla","Alexander Graham Bell","Alexander Graham Bell received U.S. Patent No. 174,465 for the telephone in 1876.","https://www.loc.gov/item/today-in-history/march-07/"
"Set 6","Inventions & art","Which artist painted The Persistence of Memory?","Rene Magritte","Salvador Dali","Joan Miro","Pablo Picasso","Salvador Dali","Salvador Dali painted the famous melting clocks in 1931.","https://www.moma.org/collection/works/79018"
"Set 6","Inventions & art","What did Johannes Gutenberg's European press use to reproduce text?","Wooden stencils","Movable metal type","Lithographic stones","Copper photographs","Movable metal type","Gutenberg combined movable metal type with a mechanical press in 15th-century Europe.","https://www.britannica.com/biography/Johannes-Gutenberg"
"Set 6","Inventions & art","Which architect designed the large glass pyramid at the Louvre?","I. M. Pei","Frank Gehry","Norman Foster","Renzo Piano","I. M. Pei","I. M. Pei designed the glass pyramid that opened at the Louvre in 1989.","https://www.louvre.fr/en/explore/the-palace/the-louvre-pyramid"
"Set 6","Inventions & art","Who painted the ceiling of the Sistine Chapel?","Raphael","Michelangelo","Titian","Botticelli","Michelangelo","Michelangelo painted the chapel ceiling between 1508 and 1512.","https://www.vaticanmuseums.va/content/vaticanmuseums/en/collezioni/musei/cappella-sistina.html"
"Set 6","Inventions & art","What phrase did Thomas Edison recite in his early demonstration of recorded sound?","Mary had a little lamb","To be or not to be","Hello, world","God save the Queen","Mary had a little lamb","Edison recited ""Mary had a little lamb"" into his tinfoil phonograph during an early demonstration.","https://www.loc.gov/item/today-in-history/november-21/"
"Set 6","Inventions & art","Which photographic process gave blueprints their characteristic blue color?","Cyanotype","Daguerreotype","Tintype","Collodion","Cyanotype","The cyanotype process uses iron compounds to produce a stable Prussian-blue image and became the basis of blueprint copying.","https://www.britannica.com/technology/cyanotype"
"Set 6","Inventions & art","Which photography company introduced the Brownie camera in 1900?","Polaroid","Kodak","Leica","Fujifilm","Kodak","Eastman Kodak sold the simple Brownie camera for one dollar at launch.","https://americanhistory.si.edu/collections/object/nmah_760118"
"Set 6","Inventions & art","What are the individual small pieces in a mosaic called?","Tesserae","Gesso","Frescoes","Intaglio","Tesserae","Mosaics form images from small pieces of stone, glass, or other material called tesserae.","https://www.britannica.com/art/mosaic-art"
"Set 6","Inventions & art","What was the first synthetic plastic called?","Nylon","Bakelite","Cellophane","Perspex","Bakelite","Leo Baekeland patented Bakelite, the first fully synthetic plastic, in 1909.","https://www.acs.org/education/whatischemistry/landmarks/bakelite.html"
"Star Wars 1 · Foundations","Original trilogy","What was Darth Vader called before he became a Sith Lord?","Anakin Skywalker","Ben Solo","Count Dooku","Qui-Gon Jinn","Anakin Skywalker","Anakin Skywalker becomes Darth Vader; Ben Solo later becomes Kylo Ren.","https://www.starwars.com/databank/darth-vader"
"Star Wars 1 · Foundations","Original trilogy","How are Luke Skywalker and Leia Organa related?","Cousins","Twins","Mother and son","Unrelated","Twins","Luke and Leia are the twins of Anakin Skywalker and Padmé Amidala.","https://www.starwars.com/databank/princess-leia-organa"
"Star Wars 1 · Foundations","Original trilogy","Which droid carries Leia's message to Obi-Wan in A New Hope?","C-3PO","BB-8","R2-D2","K-2SO","R2-D2","R2-D2 carries both Leia's holographic message and the stolen Death Star plans.","https://www.starwars.com/databank/luke-skywalker"
"Star Wars 1 · Foundations","Original trilogy","Who fires the shot that destroys the first Death Star?","Wedge Antilles","Han Solo","Lando Calrissian","Luke Skywalker","Luke Skywalker","Luke fires proton torpedoes into the exhaust port after Han clears Vader from his tail.","https://www.starwars.com/databank/luke-skywalker"
"Star Wars 1 · Foundations","Original trilogy","Who trains Luke on Dagobah in The Empire Strikes Back?","Yoda","Mace Windu","Qui-Gon Jinn","Ahsoka Tano","Yoda","Obi-Wan begins Luke's training; Yoda continues it on Dagobah.","https://www.starwars.com/databank/yoda"
"Star Wars 1 · Foundations","Original trilogy","What material encases Han Solo in The Empire Strikes Back?","Beskar","Carbonite","Kyber","Coaxium","Carbonite","Vader tests the carbon-freezing chamber on Han before attempting to trap Luke.","https://www.starwars.com/databank/han-solo"
"Star Wars 1 · Foundations","Original trilogy","Who kills Jabba the Hutt in Return of the Jedi?","Luke Skywalker","Boba Fett","Leia Organa","Han Solo","Leia Organa","Leia strangles Jabba with the chain he used to hold her captive.","https://www.starwars.com/databank/jabba-the-hutt"
"Star Wars 1 · Foundations","Original trilogy","Who is Han Solo's Wookiee co-pilot?","Wicket","Greedo","Bossk","Chewbacca","Chewbacca","Chewbacca is a Wookiee; Wicket is an Ewok.","https://www.starwars.com/databank/chewbacca"
"Star Wars 1 · Foundations","Planets & places","On which desert planet does Luke grow up?","Tatooine","Jakku","Geonosis","Jedha","Tatooine","Luke grows up with Owen and Beru Lars on Tatooine; Rey grows up on Jakku.","https://www.starwars.com/databank/luke-skywalker"
"Star Wars 1 · Foundations","Planets & places","Which planet does the first Death Star destroy in A New Hope?","Naboo","Alderaan","Coruscant","Hoth","Alderaan","Alderaan is Leia's adoptive homeworld; Tarkin orders its destruction.","https://www.starwars.com/databank/princess-leia-organa"
"Star Wars 1 · Foundations","Planets & places","Which ice planet houses Echo Base in The Empire Strikes Back?","Crait","Ilum","Hoth","Kamino","Hoth","Hoth is the ice world attacked by Imperial walkers; Crait has a white salt surface.","https://www.starwars.com/databank/hoth"
"Star Wars 1 · Foundations","Planets & places","Cloud City floats in the atmosphere of which planet?","Endor","Dagobah","Yavin","Bespin","Bespin","Lando administers Cloud City, a tibanna-gas mining colony on Bespin.","https://www.starwars.com/databank/bespin"
"Star Wars 1 · Foundations","Planets & places","Where do the Ewoks help the Rebels in Return of the Jedi?","The forest moon of Endor","Kashyyyk","Naboo","Yavin 4","The forest moon of Endor","Ewoks live on Endor's forest moon; Kashyyyk is the Wookiee homeworld.","https://www.starwars.com/databank/endor"
"Star Wars 1 · Foundations","Planets & places","On which lava world do Obi-Wan and Anakin duel in Revenge of the Sith?","Sullust","Mustafar","Geonosis","Exegol","Mustafar","Obi-Wan defeats Anakin on Mustafar, leaving him badly burned.","https://www.starwars.com/databank/darth-vader"
"Star Wars 1 · Foundations","Planets & places","Which city-covered planet houses the Republic Senate and Jedi Temple?","Corellia","Alderaan","Coruscant","Mandalore","Coruscant","Coruscant is the galactic capital during the Republic and the Empire.","https://www.starwars.com/databank/coruscant"
"Star Wars 1 · Foundations","Planets & places","Where is the Rebel base during the attack on the first Death Star?","Dantooine","Hoth","Endor","Yavin 4","Yavin 4","Leia names the abandoned Dantooine base as a diversion; the active base is on Yavin 4.","https://www.starwars.com/databank/princess-leia-organa"
"Star Wars 1 · Foundations","Ships & technology","Which ship is Han Solo famous for piloting?","Millennium Falcon","Ghost","Razor Crest","Tantive IV","Millennium Falcon","The Millennium Falcon is a modified Corellian light freighter.","https://www.starwars.com/databank/millennium-falcon"
"Star Wars 1 · Foundations","Ships & technology","From whom does Han win the Millennium Falcon?","Jabba the Hutt","Lando Calrissian","Boba Fett","Dryden Vos","Lando Calrissian","Han wins Lando's ship in a game of sabacc.","https://www.starwars.com/databank/millennium-falcon"
"Star Wars 1 · Foundations","Ships & technology","What kind of starfighter does Luke fly against the first Death Star?","A-wing","Y-wing","X-wing","TIE fighter","X-wing","Luke flies an X-wing with R2-D2 as his astromech.","https://www.starwars.com/databank/luke-skywalker"
"Star Wars 1 · Foundations","Ships & technology","What is Luke's call sign during the Battle of Yavin?","Gold Leader","Red Leader","Rogue Two","Red Five","Red Five","Luke is Red Five during the first Death Star attack.","https://www.starwars.com/databank/luke-skywalker"
"Star Wars 1 · Foundations","Ships & technology","Which Imperial walker has four legs and attacks Echo Base?","AT-AT","AT-ST","TIE interceptor","Speeder bike","AT-AT","The AT-AT is the four-legged walker on Hoth; the smaller AT-ST has two legs.","https://www.starwars.com/databank/at-at-walker"
"Star Wars 1 · Foundations","Ships & technology","Which crystals power lightsabers?","Coaxium crystals","Kyber crystals","Carbonite crystals","Beskar crystals","Kyber crystals","Kyber crystals focus a lightsaber's energy; beskar is an armor metal.","https://www.starwars.com/databank/lightsaber"
"Star Wars 1 · Foundations","Ships & technology","What type of droid is C-3PO?","Astromech droid","Battle droid","Protocol droid","Probe droid","Protocol droid","C-3PO specializes in etiquette and translation; R2-D2 is an astromech.","https://www.starwars.com/databank/c-3po"
"Star Wars 1 · Foundations","Ships & technology","Which ship carries Leia at the beginning of A New Hope?","Home One","Executor","Ghost","Tantive IV","Tantive IV","Vader boards the Tantive IV while searching for the stolen Death Star plans.","https://www.starwars.com/databank/princess-leia-organa"
"Star Wars 1 · Foundations","Prequel trilogy","Who is Obi-Wan's Jedi Master in The Phantom Menace?","Qui-Gon Jinn","Mace Windu","Count Dooku","Plo Koon","Qui-Gon Jinn","Obi-Wan is Qui-Gon's Padawan in Episode I and later trains Anakin.","https://www.starwars.com/databank/qui-gon-jinn"
"Star Wars 1 · Foundations","Prequel trilogy","Who kills Qui-Gon Jinn?","Darth Sidious","Darth Maul","General Grievous","Count Dooku","Darth Maul","Maul kills Qui-Gon during the lightsaber duel on Naboo.","https://www.starwars.com/databank/darth-maul"
"Star Wars 1 · Foundations","Prequel trilogy","Padmé Amidala first appears as queen of which planet?","Alderaan","Coruscant","Naboo","Mandalore","Naboo","Padmé is Naboo's elected queen in Episode I and later its senator.","https://www.starwars.com/databank/padme-amidala"
"Star Wars 1 · Foundations","Prequel trilogy","Which Sith identity belongs to Chancellor Palpatine?","Darth Tyranus","Darth Maul","Darth Plagueis","Darth Sidious","Darth Sidious","Palpatine is Darth Sidious; Count Dooku is Darth Tyranus.","https://www.starwars.com/databank/emperor-palpatine-darth-sidious"
"Star Wars 1 · Foundations","Prequel trilogy","Which order commands the clone troopers to turn on the Jedi?","Order 66","Order 99","Order 501","Order 1138","Order 66","Palpatine issues Order 66 near the end of the Clone Wars.","https://www.starwars.com/databank/clone-troopers"
"Star Wars 1 · Foundations","Prequel trilogy","Who provides the genetic template for the Republic's clone army?","Boba Fett","Jango Fett","Captain Rex","Commander Cody","Jango Fett","Jango is the template; Boba is his unaltered clone, raised as his son.","https://www.starwars.com/databank/jango-fett"
"Star Wars 1 · Foundations","Prequel trilogy","On which ocean world does Obi-Wan discover the clone army?","Naboo","Mon Cala","Kamino","Scarif","Kamino","Kamino's cloners create the army in facilities above its stormy oceans.","https://www.starwars.com/databank/kamino"
"Star Wars 1 · Foundations","Prequel trilogy","Which Jedi wields a purple lightsaber in the prequel films?","Kit Fisto","Yoda","Obi-Wan Kenobi","Mace Windu","Mace Windu","Mace Windu, played by Samuel L. Jackson, carries the distinctive purple blade.","https://www.starwars.com/databank/mace-windu"
"Star Wars 1 · Foundations","Sequel trilogy","On which planet does Rey live as a scavenger in The Force Awakens?","Jakku","Tatooine","Pasaana","Jedha","Jakku","Rey scavenges wrecked ships on Jakku; Luke's childhood desert world is Tatooine.","https://www.starwars.com/databank/rey"
"Star Wars 1 · Foundations","Sequel trilogy","What is Kylo Ren's birth name?","Anakin Solo","Ben Solo","Jacen Solo","Ben Skywalker","Ben Solo","Ben Solo is the son of Han Solo and Leia Organa.","https://www.starwars.com/databank/kylo-ren"
"Star Wars 1 · Foundations","Sequel trilogy","What is Finn's stormtrooper designation?","TK-421","CT-7567","FN-2187","IG-11","FN-2187","Poe gives FN-2187 the name Finn during their escape.","https://www.starwars.com/databank/finn"
"Star Wars 1 · Foundations","Sequel trilogy","Which spherical droid belongs to Poe Dameron?","R2-D2","D-O","Chopper","BB-8","BB-8","BB-8 is Poe's astromech and carries part of the map to Luke.","https://www.starwars.com/databank/bb-8"
"Star Wars 1 · Foundations","Sequel trilogy","What is the First Order's planet-sized weapon in The Force Awakens?","Starkiller Base","Death Star II","The Supremacy","The Malevolence","Starkiller Base","Starkiller Base uses stellar energy to destroy the Hosnian system.","https://www.starwars.com/databank/starkiller-base"
"Star Wars 1 · Foundations","Sequel trilogy","Where does Rey find Luke at the end of The Force Awakens?","Dagobah","Ahch-To","Tython","Ossus","Ahch-To","Luke has exiled himself on Ahch-To, the site of the first Jedi Temple.","https://www.starwars.com/databank/ahch-to"
"Star Wars 1 · Foundations","Sequel trilogy","Who kills Supreme Leader Snoke in The Last Jedi?","Rey","Luke Skywalker","Kylo Ren","General Hux","Kylo Ren","Kylo uses the Force to ignite the Skywalker lightsaber beside Snoke.","https://www.starwars.com/databank/supreme-leader-snoke"
"Star Wars 1 · Foundations","Sequel trilogy","Which surname does Rey choose at the end of The Rise of Skywalker?","Solo","Organa","Kenobi","Skywalker","Skywalker","Rey calls herself Rey Skywalker after burying Luke's and Leia's lightsabers on Tatooine.","https://www.starwars.com/databank/rey"
"Star Wars 1 · Foundations","TV & standalone films","What is the name of the child nicknamed Baby Yoda by fans?","Grogu","Yaddle","Ezra","Babu Frik","Grogu","Grogu is a separate character from Yoda; Ahsoka reveals his name in The Mandalorian.","https://www.starwars.com/databank/grogu"
"Star Wars 1 · Foundations","TV & standalone films","Which Mandalorian bounty hunter becomes Grogu's protector?","Boba Fett","Din Djarin","Jango Fett","Paz Vizsla","Din Djarin","Din Djarin and Grogu travel together as a clan of two.","https://www.starwars.com/databank/grogu"
"Star Wars 1 · Foundations","TV & standalone films","Who is Ahsoka Tano's Jedi Master during the Clone Wars?","Obi-Wan Kenobi","Plo Koon","Anakin Skywalker","Mace Windu","Anakin Skywalker","Ahsoka is Anakin's Padawan; Plo Koon discovered her as a child.","https://www.starwars.com/databank/ahsoka-tano"
